"","ID","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol"
"292","Wine292",11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5
"293","Wine293",10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3
"294","Wine294",6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1
"295","Wine295",13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5
"296","Wine296",10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5
"297","Wine297",10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9
"298","Wine298",7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6
"299","Wine299",7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7
"300","Wine300",6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6
"301","Wine301",7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7
"302","Wine302",11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1
"303","Wine303",8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10
"304","Wine304",7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5
"305","Wine305",8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2
"306","Wine306",10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3
"307","Wine307",7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4
"308","Wine308",10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5
"309","Wine309",10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5
"310","Wine310",7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5
"311","Wine311",10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3
"312","Wine312",7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4
"313","Wine313",9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5
"314","Wine314",8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4
"315","Wine315",7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11
"316","Wine316",7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11
"317","Wine317",9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1
"318","Wine318",9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4
"319","Wine319",9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5
"320","Wine320",9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4
"321","Wine321",9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5
"322","Wine322",9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7
"323","Wine323",7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3
"324","Wine324",10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5
"325","Wine325",10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2
"326","Wine326",10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2
"327","Wine327",11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5
"328","Wine328",10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5
"329","Wine329",13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7
"330","Wine330",10.7,0.46,0.39,2,0.061,7,15,0.9981,3.18,0.62,9.5
"331","Wine331",10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5
"332","Wine332",10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5
"333","Wine333",8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4
"334","Wine334",8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11
"335","Wine335",7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7
"336","Wine336",11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2
"337","Wine337",8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5
"338","Wine338",7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3
"339","Wine339",12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5
"340","Wine340",12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8
"341","Wine341",12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2
"342","Wine342",10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3
"343","Wine343",10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8
"344","Wine344",10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8
"345","Wine345",11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7
"346","Wine346",7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9
"347","Wine347",6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3
"348","Wine348",13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12
"349","Wine349",9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10
"350","Wine350",9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4
"351","Wine351",10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9
"352","Wine352",9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4
"353","Wine353",7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3
"354","Wine354",13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13
"355","Wine355",6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9
"356","Wine356",6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8
"357","Wine357",11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11
"358","Wine358",10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7
"359","Wine359",11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4
"360","Wine360",12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8
"361","Wine361",8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4
"362","Wine362",8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9
"363","Wine363",11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10
"364","Wine364",12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2
"365","Wine365",12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10
"366","Wine366",10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8
"367","Wine367",12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10
"368","Wine368",10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9
"369","Wine369",10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4
"370","Wine370",9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12
"371","Wine371",6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9
"372","Wine372",7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7
"373","Wine373",9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6
"374","Wine374",7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2
"375","Wine375",14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8
"376","Wine376",11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8
"377","Wine377",11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11
"378","Wine378",9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12
"379","Wine379",11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3
"380","Wine380",8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8
"381","Wine381",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4
"382","Wine382",13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10
"383","Wine383",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4
"384","Wine384",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4
"385","Wine385",7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2
"386","Wine386",7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7
"387","Wine387",7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2
"388","Wine388",8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6
"389","Wine389",7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2
"390","Wine390",9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10
"391","Wine391",5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9
"392","Wine392",13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10
"393","Wine393",9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5
"394","Wine394",8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1
"395","Wine395",12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9
"396","Wine396",12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13
"397","Wine397",6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9
"398","Wine398",11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11
"399","Wine399",11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11
"400","Wine400",8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4
"401","Wine401",6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9
"402","Wine402",7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8
"403","Wine403",12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5
"404","Wine404",11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5
"405","Wine405",7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1
"406","Wine406",8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1
"407","Wine407",9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8
"408","Wine408",12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8
"409","Wine409",10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3
"410","Wine410",12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6
"411","Wine411",9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5
"412","Wine412",9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5
"413","Wine413",7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3
"414","Wine414",9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7
"415","Wine415",8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5
"416","Wine416",8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3
"417","Wine417",10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7
"418","Wine418",7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5
"419","Wine419",11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4
"420","Wine420",6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9
"421","Wine421",9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8
"422","Wine422",6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3
"423","Wine423",7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9
"424","Wine424",10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11
"425","Wine425",7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9
"426","Wine426",6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3
"427","Wine427",6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4
"428","Wine428",9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6
"429","Wine429",9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3
"430","Wine430",12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4
"431","Wine431",10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11
"432","Wine432",7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2
"433","Wine433",11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8
"434","Wine434",12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5
"435","Wine435",10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9
"436","Wine436",12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5
"437","Wine437",8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2
"438","Wine438",11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2
"439","Wine439",10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9
"440","Wine440",7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3
"441","Wine441",12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8
"442","Wine442",11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3
"443","Wine443",15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2
"444","Wine444",10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6
"445","Wine445",5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5
"446","Wine446",9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1
"447","Wine447",12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5
"448","Wine448",9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2
"449","Wine449",8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2
"450","Wine450",11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8
"451","Wine451",11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8
"452","Wine452",8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1
"453","Wine453",6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10
"454","Wine454",10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2
"455","Wine455",7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1
"456","Wine456",11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4
"457","Wine457",8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3
"458","Wine458",9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6
"459","Wine459",10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2
"460","Wine460",11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9
"461","Wine461",9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3
"462","Wine462",8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3
"463","Wine463",11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8
"464","Wine464",8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9
"465","Wine465",11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2
"466","Wine466",10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7
"467","Wine467",10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5
"468","Wine468",8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14
"469","Wine469",11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2
"470","Wine470",8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8
"471","Wine471",13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6
"472","Wine472",9.6,0.54,0.42,2.4,0.081,25,52,0.997,3.2,0.71,11.4
"473","Wine473",12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4
"474","Wine474",9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6
"475","Wine475",10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4
"476","Wine476",9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2
"477","Wine477",9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7
"478","Wine478",10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11
"479","Wine479",9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2
"480","Wine480",9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1
"481","Wine481",10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2
"482","Wine482",9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7
"483","Wine483",10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4
"484","Wine484",10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4
"485","Wine485",10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4
"486","Wine486",10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10
"487","Wine487",10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10
"488","Wine488",10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10
"489","Wine489",11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8
"490","Wine490",9.3,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2
"491","Wine491",9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6
"492","Wine492",9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3
"493","Wine493",8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4
"494","Wine494",8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6
"495","Wine495",6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1
"496","Wine496",10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11
"497","Wine497",7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9
"498","Wine498",7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1
"499","Wine499",10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11
"500","Wine500",8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6
"501","Wine501",7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9
"502","Wine502",10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12
"503","Wine503",10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12
"504","Wine504",10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9
"505","Wine505",10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8
"506","Wine506",10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5
"507","Wine507",10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8
"508","Wine508",11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5
"509","Wine509",10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2
"510","Wine510",13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4
"511","Wine511",12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5
"512","Wine512",10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2
"513","Wine513",10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7
"514","Wine514",10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8
"515","Wine515",10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8
"516","Wine516",8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3
"517","Wine517",12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9
"518","Wine518",10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4
"519","Wine519",10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7
"520","Wine520",7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11
"521","Wine521",9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10
"522","Wine522",7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1
"523","Wine523",8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8
"524","Wine524",9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4
"525","Wine525",9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5
"526","Wine526",10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9
"527","Wine527",7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11
"528","Wine528",7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4
"529","Wine529",8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7
"530","Wine530",9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4
"531","Wine531",9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3
"532","Wine532",11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3
"533","Wine533",11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3
"534","Wine534",10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8
"535","Wine535",10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10
"536","Wine536",9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3
"537","Wine537",9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4
"538","Wine538",8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7
"539","Wine539",12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12
"540","Wine540",11.2,0.5,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2
"541","Wine541",9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6
"542","Wine542",9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11
"543","Wine543",9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9
"544","Wine544",11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11
"545","Wine545",14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4
"546","Wine546",9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1
"547","Wine547",7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5
"548","Wine548",10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7
"549","Wine549",12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4
"550","Wine550",9,0.53,0.49,1.9,0.171,6,25,0.9975,3.27,0.61,9.4
"551","Wine551",6.8,0.51,0.01,2.1,0.074,9,25,0.9958,3.33,0.56,9.5
"552","Wine552",9.4,0.43,0.24,2.8,0.092,14,45,0.998,3.19,0.73,10
"553","Wine553",9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10
"554","Wine554",5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5
"555","Wine555",15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1
"556","Wine556",15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1
"557","Wine557",10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7
"558","Wine558",15.6,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1
"559","Wine559",10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7
"560","Wine560",13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7
"561","Wine561",12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4
"562","Wine562",9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2
"563","Wine563",9,0.54,0.49,2.9,0.094,41,110,0.9982,3.08,0.61,9.2
"564","Wine564",7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1
"565","Wine565",13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7
"566","Wine566",12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4
"567","Wine567",8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9
"568","Wine568",8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9
"569","Wine569",9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7
"570","Wine570",6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7
"571","Wine571",11.5,0.35,0.49,3.3,0.07,10,37,1.0003,3.32,0.91,11
"572","Wine572",6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7
"573","Wine573",10.2,0.24,0.49,2.4,0.075,10,28,0.9978,3.14,0.61,10.4
"574","Wine574",10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6
"575","Wine575",10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10
"576","Wine576",12.3,0.27,0.49,3.1,0.079,28,46,0.9993,3.2,0.8,10.2
"577","Wine577",9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10
"578","Wine578",8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5
"579","Wine579",8.8,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8
"580","Wine580",10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8
